EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
577370;19.0;42165.156;8011.655;01;2024-08-01;4104;0
577390;19.0;574.132;109.087;03;2024-08-01;4110000582;1
577406;19.0;1148.266;218.172;03;2024-08-01;4110000239;1
577420;19.0;4789.913;910.084;03;2024-08-02;4110000428;1
577455;19.0;540.285;102.654;03;2024-08-02;4110000518;1
577498;19.0;165934.301;31529.486;09;2024-08-02;1343;2
577644;19.0;1718.068;326.434;05;2024-07-31;4110000080;2
578038;19.0;738.586;140.335;03;2024-08-02;4110000186;1
578042;19.0;-857.2;-162.868;03;2024-08-02;4110000186;1
578050;19.0;816.798;155.191;03;2024-08-02;4110001481;1
578054;19.0;-816.798;-155.191;03;2024-08-02;4110001481;1
578058;19.0;1559.237;296.255;03;2024-08-02;4110000321;1
578066;19.0;947.206;179.969;03;2024-08-02;4110000562;1
578084;19.0;7074.55;1344.212;01;2024-08-02;4104;0
578090;19.0;2767.334;525.794;03;2024-08-02;4110000007;1
578099;19.0;1147.33;217.991;03;2024-08-02;4110000462;1
578103;19.0;-38.064;-7.232;03;2024-08-02;4110000462;1
578145;19.0;990.779;188.248;03;2024-08-03;4110000027;1
578149;19.0;2461.898;467.76;03;2024-08-03;4110000289;1
578251;19.0;9457.161;1797.228;01;2024-08-03;4036;0
578263;19.0;30996.904;5889.412;01;2024-08-03;1366;0
578297;19.0;3229.474;613.6;03;2024-08-05;4110000353;1
578322;19.0;528.527;100.42;03;2024-08-05;4110000203;1
578328;19.0;-27.831;-5.288;03;2024-08-05;4110000203;1
578345;19.0;21.344;4.055;03;2024-08-05;4110000440;1
578408;19.0;54.793;10.411;03;2024-08-05;4110000440;1
578419;19.0;13840.737;2629.379;01;2024-08-05;1367;0
578423;19.0;13155.5;2499.5;01;2024-08-05;1345;0
578468;19.0;7634.805;1450.613;03;2024-08-05;4110000022;1
578480;19.0;2722.68;517.31;03;2024-08-05;4110002470;1
578498;19.0;3845.615;730.667;03;2024-08-05;4110000022;1
578536;19.0;446.366;84.81;03;2024-08-05;4110000195;1
578542;19.0;-41.177;-7.824;03;2024-08-05;4110000195;1
578549;19.0;2876.007;546.439;03;2024-08-05;4110000167;1
578553;19.0;-191.857;-36.453;03;2024-08-05;4110000167;1
578560;19.0;22863.877;4344.451;01;2024-08-05;1343;0
578567;19.0;20660.265;3925.811;01;2024-08-05;1343;0
578571;19.0;24028.297;4565.534;01;2024-08-05;1343;0
578585;19.0;67552.439;12835.796;09;2024-08-05;1343;2
578602;19.0;8928.76;1696.462;02;2024-08-02;1345;2
578604;19.0;36790.369;6991.592;02;2024-08-02;1366;2
578606;19.0;42165.156;8011.655;02;2024-08-02;4104;2
578608;19.0;17666.257;3356.589;02;2024-08-02;1364;2
578631;19.0;862.758;163.924;03;2024-08-06;4110000494;1
578646;19.0;718.503;136.515;03;2024-08-06;4110000427;1
578658;19.0;1910.338;362.964;03;2024-08-06;4110000545;1
578702;19.0;2156.054;409.65;03;2024-08-06;4110000036;1
578715;19.0;4140.821;786.758;03;2024-08-06;4110001247;1
578727;19.0;2848.834;541.279;03;2024-08-06;4110000085;1
578731;19.0;1607.274;305.385;03;2024-08-06;4110000075;1
578741;19.0;1634.482;310.551;03;2024-08-06;4110000468;1
578777;19.0;36790.369;6991.592;01;2024-08-06;1366;0
578784;19.0;4.624;0.879;03;2024-08-06;4110000440;1
578801;19.0;7261.241;1379.637;03;2024-08-07;4110000977;1
578885;19.0;1325.822;251.907;03;2024-08-07;4110000239;1
578909;7.0;1964.88;137.542;03;2024-08-07;4110000270;1
578926;19.0;6838.825;1299.378;03;2024-08-07;4110000097;1
578961;19.0;23901.701;4541.323;03;2024-08-07;4110001684;1
578966;19.0;23892.479;4539.571;03;2024-08-07;4110001684;1
