DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
MF2300409;0.0;0;1
MF2300413;0.0;0;1
MF2300416;0.0;0;1
MF2300417;0.0;0;1
MF2300419;0.0;0;2
MF2300420;0.0;0;2
MF2300425;0.0;0;1
MF2300426;0.0;0;1
MF2300427;0.0;0;1
MF2300428;0.0;0;1
MF2300431;0.0;0;2
MF2300432;0.0;0;1
MF2300434;0.0;0;2
MF2300436;0.0;0;1
MF2300437;0.0;0;1
MF2300438;0.0;0;2
MF2300439;0.0;0;1
MF2300440;0.0;0;1
MF2300441;0.0;0;1
MF2300442;0.0;0;1
MF2300443;0.0;0;1
MF2300444;0.0;0;1
MF2300445;0.0;0;2
MF2300446;0.0;0;1
MF2300447;0.0;0;1
MF2300448;0.0;0;1
MF2300453;0.0;0;1
MF2300449;0.0;0;2
MF2300451;0.0;0;2
MF2300452;0.0;0;2
MF2300456;0.0;0;2
MF2300457;0.0;0;2
MF2300458;0.0;0;1
MF2300465;0.0;0;1
MF2300473;0.0;0;2
MF2300450;0.0;0;2
MF2300482;0.0;0;1
MF2300486;0.0;0;1
MF2300454;0.0;0;1
MF2300462;0.0;0;1
MF2300463;0.0;0;1
MF2300464;0.0;0;1
MF2300466;0.0;0;2
MF2300467;0.0;0;2
MF2300468;0.0;0;1
MF2300469;0.0;0;2
MF2300470;0.0;0;2
MF2300471;0.0;0;2
MF2300472;0.0;0;2
MF2300474;0.0;0;2
MF2300475;0.0;0;1
MF2300476;0.0;0;1
MF2300477;0.0;0;1
MF2300480;0.0;0;1
MF2300459;0.0;0;1
MF2300460;0.0;0;1
MF2300478;0.0;0;2
MF2300479;0.0;0;2
MF2300484;0.0;0;2
MF2300488;0.0;0;2
MF2300489;0.0;0;2
MF2300490;0.0;0;2
MF2300494;0.0;0;2
MF2300495;0.0;0;1
MF2300481;0.0;0;1
MF2300492;0.0;0;2
MF2300493;0.0;0;2
MF2300498;0.0;0;1
MF2300487;0.0;0;1
MF2300496;0.0;0;1
MF2300499;0.0;0;2
MF2300501;0.0;0;2
MF2300502;0.0;0;1
MF2300503;0.0;0;1
MF2300505;0.0;0;2
MF2300506;0.0;0;2
MF2300508;0.0;0;1
MF2300504;0.0;0;2
MF2300507;0.0;0;2
MF2300510;0.0;0;2
MF2300511;0.0;0;2
MF2300513;0.0;0;1
MF2300515;0.0;0;1
MF2300516;0.0;0;1
MF2300517;0.0;0;1
MF2300497;0.0;0;1
MF2300514;0.0;0;1
MF2300518;0.0;0;2
MF2300519;0.0;0;1
MF2300512;0.0;0;1
MF2300523;0.0;0;1
MF2300524;0.0;0;1
MF2300522;0.0;0;2
MF2300525;0.0;0;2
MF2300526;0.0;0;1
MF2300531;0.0;0;1
MF2300535;0.0;0;1
MF2300536;0.0;0;2
MF2300538;0.0;0;2
MF2300542;0.0;0;1
MF2300543;0.0;0;1
MF2300546;0.0;0;2
MF2300528;0.0;0;2
MF2300533;0.0;0;2
MF2300455;0.0;0;2
MF2300461;0.0;0;2
MF2300483;0.0;0;2
MF2300485;0.0;0;2
MF2300491;0.0;0;2
MF2300509;0.0;0;2
MF2300520;0.0;0;1
MF2300532;0.0;0;2
MF2300555;0.0;0;1
MF2300556;0.0;0;1
MF2300557;0.0;0;1
MF2300521;0.0;0;1
MF2300527;0.0;0;2
MF2300541;0.0;0;1
MFR023000;0.0;0;2
MF2300500;0.0;0;1
MF2300530;0.0;0;1
MF2300534;0.0;0;1
MF2300537;0.0;0;1
MF2300539;0.0;0;2
MF2300540;0.0;0;1
MF2300544;0.0;0;1
MF2300545;0.0;0;2
MF2300547;0.0;0;1
MF2300548;0.0;0;1
MF2300549;0.0;0;1
MF2300551;0.0;0;1
MF2300552;0.0;0;1
MF2300554;0.0;0;2
MF2300559;0.0;0;2
MF2300560;0.0;0;1
MF2300561;0.0;0;1
MF2300562;0.0;0;1
MF2300553;0.0;0;2
MF2300564;0.0;0;1
MF2300529;0.0;0;1
MF2300550;0.0;0;2
MF2300563;0.0;0;2
MF2300567;0.0;0;2
AMR230000;0.0;0;1
MAV230000;0.0;0;1
MF2300569;0.0;0;2
MF2300570;0.0;0;2
MF2300573;0.0;0;1
MF2300566;0.0;0;1
MF2300576;0.0;0;1
MF2300577;0.0;0;1
MF2300579;0.0;0;2
MF2300572;0.0;0;1
MF2300580;0.0;0;1
MF2300582;0.0;0;1
MF2300585;0.0;0;1
MF2300583;0.0;0;1
MF2300592;0.0;0;1
MF2300587;0.0;0;2
MF2300589;0.0;0;2
MF2300593;0.0;0;2
MF2300601;0.0;0;2
MF2300591;0.0;0;1
MF2300596;0.0;0;2
MF2300602;0.0;0;1
MF2300603;0.0;0;2
MF2300558;0.0;0;2
MF2300565;0.0;0;2
MF2300568;0.0;0;1
