RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00003652;FEX027;0;FCN01012;2025-06-17 00:00:00;5;53.645;2;
RF00003653;1346;0;AM250001193;2025-06-17 00:00:00;3;21713.122;2;AMEN BK 2
RF00003654;1346;0;AM250001193;2025-06-17 00:00:00;5;219.324;2;
RF00003655;1343;17;AM250001148;2025-06-17 00:00:00;3;31820.584;2;AMEN BK 2
RF00003656;1343;17;AM250001148;2025-06-17 12:13:00;5;321.42;2;
RF00003657;4104;0;MAV250000182;2025-06-17 00:00:00;3;72388.474;2;AMEN BK 2
RF00003658;4104;0;AM250001042;2025-06-17 00:00:00;5;731.196;2;
RF00003659;1098;0;AM250001071;2025-06-17 00:00:00;2;23086.075;2;AMEN BK 2
RF00003660;1098;0;AM250001071;2025-06-17 00:00:00;5;233.192;2;
RF00003661;1049;0;AM250001283;2025-06-17 00:00:00;3;24508.954;2;AMEN BK 2
RF00003662;1049;0;AM250001415;2025-06-17 00:00:00;5;247.565;1;
RF00003663;1178;0;MAV250000183;2025-06-18 00:00:00;3;37407.533;2;AMEN BK 2
RF00003664;1178;0;AM250001136;2025-06-18 00:00:00;5;187.977;2;
RF00003665;1298;0;AM250000808;2025-06-18 00:00:00;3;66356.55;2;AMEN BK 2
RF00003666;1298;0;AM250000808;2025-06-18 00:00:00;5;333.45;2;
RF00003667;1345;0;AM250000765;2025-06-18 00:00:00;4;27974.495;2;AMEN BK 2
RF00003668;4014;0;AM250001169;2025-06-18 00:00:00;1;40000.0;2;
RF00003669;4137;17;AM250000446;2025-06-18 00:00:00;4;1116.996;2;AMEN BK 2
RF00003670;1377;0;AM250001340;2025-06-18 00:00:00;4;43225.196;2;BTL
RF00003671;1377;0;AM250001340;2025-06-18 00:00:00;5;436.618;2;
RF00003672;1179;0;AM250001813;2025-06-18 00:00:00;3;68244.092;2;AMEN BK 2
RF00003673;1360;0;AM240003162;2025-06-18 00:00:00;3;63573.425;2;AMEN BK 2
RF00003674;1360;0;AM250000776;2025-06-18 00:00:00;5;642.155;2;
RF00003675;1343;0;AM250001183;2025-06-20 00:00:00;3;32349.951;2;AMEN BK 2
RF00003676;1343;0;AM250001183;2025-06-20 00:00:00;5;326.767;1;
RF00003677;1343;0;AM250001182;2025-06-20 00:00:00;3;36767.228;2;AMEN BK 2
RF00003678;1343;0;AM250001182;2025-06-20 00:00:00;5;371.386;2;
RF00003679;1032;0;AM250001186;2025-06-20 00:00:00;3;86058.368;2;AMEN BK 2
RF00003680;1032;0;AM250001186;2025-06-20 00:00:00;5;869.276;2;
RF00003681;1032;0;AM250001188;2025-06-20 00:00:00;3;139265.585;2;AMEN BK 2
RF00003682;1032;0;AM250001189;2025-06-20 00:00:00;5;1406.723;2;
RF00003683;1375;0;AM250001252;2025-06-20 00:00:00;3;100342.401;1;AMEN BK 2
RF00003684;1375;0;;2025-06-20 00:00:00;5;1013.559;0;
RF00003685;1024;17;AM250001194;2025-06-21 00:00:00;3;33456.1;2;AMEN BK 2
RF00003686;1024;17;AM250001194;2025-06-21 11:21:00;5;337.94;2;
RF00003687;1032;0;MAV250000185;2025-06-24 00:00:00;3;140886.853;2;AMEN BK 2
RF00003688;1032;0;AM250001223;2025-06-24 00:00:00;5;1423.099;1;
RF00003689;1351;0;AM250001196;2025-06-24 00:00:00;3;57593.824;2;AMEN BK 2
RF00003690;1351;0;AM250001240;2025-06-24 00:00:00;5;581.755;2;
RF00003691;5207;0;AM250001330;2025-06-24 00:00:00;4;27362.156;2;BTL
RF00003692;5207;0;AM250001330;2025-06-24 00:00:00;5;276.385;2;
RF00003693;1375;0;AM250001282;2025-06-24 00:00:00;3;76582.299;2;AMEN BK 2
RF00003694;1375;0;;2025-06-24 00:00:00;5;773.558;0;
RF00003695;5104;0;F41/1194917;2025-06-25 00:00:00;3;35830.257;2;AMEN BK 2
RF00003696;1080;0;AM240003212;2025-06-25 00:00:00;3;5000000.0;2;AMEN BK 2
RF00003697;1080;0;AM250000161;2025-06-25 00:00:00;5;50505.05;2;
RF00003698;1155;0;AM250001243;2025-06-26 00:00:00;3;141290.995;2;AMEN BK 2
RF00003699;1155;0;AM250001243;2025-06-26 00:00:00;5;710.005;2;
RF00003700;1375;0;;2025-06-27 00:00:00;3;63310.665;0;AMEN BK 2
RF00003701;1375;0;;2025-06-27 00:00:00;5;639.501;0;
RF00003702;1375;0;;2025-06-27 00:00:00;4;18869.236;0;BTL
RF00003703;1375;0;;2025-06-27 00:00:00;5;190.598;0;
RF00003704;1032;0;AM250001213;2025-06-28 00:00:00;3;127550.707;2;AMEN BK 2
RF00003705;1032;0;AM250001219;2025-06-27 00:00:00;5;1288.39;2;
RF00003706;1032;0;AM250001220;2025-06-28 00:00:00;3;119499.491;2;AMEN BK 2
RF00003707;1032;0;AM250001246;2025-06-28 00:00:00;5;1207.065;2;
RF00003708;1032;0;AM250001242;2025-06-28 00:00:00;3;132224.105;2;AMEN BK 2
RF00003709;1032;0;AM250001247;2025-06-28 00:00:00;5;1335.597;2;
RF00003710;4104;17;AM250001201;2025-06-28 00:00:00;3;42498.062;2;AMEN BK 2
RF00003711;4104;17;AM250001201;2025-06-28 12:53:00;5;429.273;2;
RF00003712;LCAR1;0;079/2025 07/2025;2025-06-30 00:00:00;2;6344.282;2;AMEN BK 2
RF00003713;LCAR1;0;090/2025 09/2025;2025-06-30 00:00:00;5;704.918;1;
RF00003714;1375;0;;2025-06-30 00:00:00;3;4724.591;0;AMEN BK 2
RF00003715;1375;0;;2025-06-30 00:00:00;5;47.723;0;
RF00003716;4082;0;AM250000998;2025-06-30 00:00:00;2;407260.696;2;ZITOUNA
RF00003717;1032;0;AM250001248;2025-06-30 00:00:00;2;192729.076;2;ZITOUNA
RF00003718;1032;0;AM250001255;2025-06-30 00:00:00;2;479752.963;2;ZITOUNA
RF00003719;1343;17;AM250001216;2025-07-01 00:00:00;2;43087.196;2;AMEN BK 2
RF00003720;1343;0;AM250001254;2025-07-01 00:00:00;5;996.414;2;
RF00003721;1155;17;AM250001291;2025-07-01 00:00:00;3;68536.595;2;AMEN BK 2
RF00003722;1155;0;AM250001291;2025-07-01 00:00:00;3;344.405;2;AMEN BK 2
RF00003723;1178;0;AM250001167;2025-07-01 00:00:00;3;225275.902;2;AMEN BK 2
